1y3VstwNTCrjI3vENMMGzO5R7jdFgbLSM	1xIE6k2_2495A4OGD_JIcyNo5zpnpac1O	folder	04_weekly-challenge-5
1cjXftkki2hKL0Xe0itBf7Z5RrEE2_VD-	1xIE6k2_2495A4OGD_JIcyNo5zpnpac1O	folder	05_course-wrap-up
16_hk35md6vLPzlUpteGXJHsB-z_ZEVgZ	1xIE6k2_2495A4OGD_JIcyNo5zpnpac1O	folder	03_understand-code-chunks-and-exports
1D2obaSrGiQN298hbuWOaO-S3e_gVwgsi	1mWAAqCGyqGjF1hYt9GDRuTKv6H254VOW	folder	02_use-tableau-dashboards
1ku8_oU759xc-pbiBm9W7Gat-nSfqwHsq	1mWAAqCGyqGjF1hYt9GDRuTKv6H254VOW	folder	03_sharing-data-stories
1d6OEFJrtrdG_KgDexrbqo6UdCLRzrbo9	1mWAAqCGyqGjF1hYt9GDRuTKv6H254VOW	folder	04_weekly-challenge-3
1MG3fMcUt5Ymh-gq-kFhXu5hOsWW35jZN	1mWAAqCGyqGjF1hYt9GDRuTKv6H254VOW	folder	01_use-data-to-develop-stories
1ZrJWmtrtQlD3dYLDQNAmHp9zMRkZr6vg	1G-N_bH2VPyhJkhftlu9iVVrEizhZ5yqN	folder	03_design-data-visualizations
1KCXInKbxEAufR1a1i777aZXA8gDPfOL2	1G-N_bH2VPyhJkhftlu9iVVrEizhZ5yqN	folder	05_weekly-challenge-1
1ZPGJqwlloBqKOw3t352t5bS0x3xAGcS9	1G-N_bH2VPyhJkhftlu9iVVrEizhZ5yqN	folder	04_explore-visualization-considerations
144jB-2uas0fP0fEfHhLNxqRJyhygxrtA	1G-N_bH2VPyhJkhftlu9iVVrEizhZ5yqN	folder	02_understand-data-visualization
18g5G6z5Cta8iYkY8QRse9o81t2SGCZht	1G-N_bH2VPyhJkhftlu9iVVrEizhZ5yqN	folder	01_communicating-your-data-insights
1XPkxGVe-UTmz-vmKE87r6TQrkJ3F2woe	19sf1PNFk4bQ1KLWAsNziBy0mZ7i1aJZZ	folder	01_the-art-and-science-of-an-effective-presentation
1QVFXGgQDNhfnh4z_I7RYIRq2h9JbWmSf	19sf1PNFk4bQ1KLWAsNziBy0mZ7i1aJZZ	folder	02_identify-presentation-skills-and-practices
1JMldt9bIB288I_ZzUb5KZtBGY8_dK04N	19sf1PNFk4bQ1KLWAsNziBy0mZ7i1aJZZ	folder	03_caveats-and-limitations-to-data
1Pyny6VYrIKak-C8PcqKZaHpsY_IHGmJn	19sf1PNFk4bQ1KLWAsNziBy0mZ7i1aJZZ	folder	04_listen-respond-and-include
1_xB8mMS-Bw0uVxJyzqngY6UsQaZvXh1e	19sf1PNFk4bQ1KLWAsNziBy0mZ7i1aJZZ	folder	05_weekly-challenge-4
1E07A2at3EIo-cs6bPf6CHpQQnnwXpQ6L	19sf1PNFk4bQ1KLWAsNziBy0mZ7i1aJZZ	folder	06_course-wrap-up
17q1txH0i2ELZ0wOhyjmbU1lAVRdk3mJK	1kb0zQZTDAY3JgL-CRz_qMUp7KU0eUGGM	folder	01_get-started-with-tableau
10XZbuo7Qwpme0U4bY68kCEWEFX8F5LNQ	1kb0zQZTDAY3JgL-CRz_qMUp7KU0eUGGM	folder	02_create-visualizations-in-tableau
1QAnXrcWPi0zCoGWA2yzSqz3QjLwyBjnf	1kb0zQZTDAY3JgL-CRz_qMUp7KU0eUGGM	folder	04_weekly-challenge-2
1D2C5yy5-_laEFhYOpNrr-tIp5GNh9RJ4	1kb0zQZTDAY3JgL-CRz_qMUp7KU0eUGGM	folder	03_optional-work-with-multiple-data-sources
1q5emlVApEkf00bDPJSrT6oVhk9uxMsM6	1heUeNLTLvnz68dSswYvZYX6Op_qiw-Ss	folder	02_documenting-results-and-the-cleaning-process
1okbYSYTYvSVxyspagU3snq2U2ymJzcqk	1heUeNLTLvnz68dSswYvZYX6Op_qiw-Ss	folder	03_weekly-challenge-4
13TKtA7BmL5KiTvDI9rqEi0JICCF27Ir3	1heUeNLTLvnz68dSswYvZYX6Op_qiw-Ss	folder	01_manually-cleaning-data
1KKxiAJG66G2B48SKoS0X7EZteoIynCZd	11LFD8-t0pk9qXJljVB96rsor0CsvoWDb	folder	01_program-surveys
12cIXqjiNJKqswHjsvyCKW30kvOEaelrZ	11LFD8-t0pk9qXJljVB96rsor0CsvoWDb	folder	02_citations-from-course
1tlOupJ4hacKb69ABE4gIuZf20RZ_l8Tx	14qs7aOZxbwDx8CGq5Zp0wRA7KtGevexo	folder	02_learn-basic-sql-queries
1qotBFN-dqzLL3sxbdmgIsJuMUL2ZdiX8	14qs7aOZxbwDx8CGq5Zp0wRA7KtGevexo	folder	04_weekly-challenge-3
1Tp3QAmsWRvfbIpSZe72SWJYfVcPq-xdd	14qs7aOZxbwDx8CGq5Zp0wRA7KtGevexo	folder	03_transforming-data
13WeC4EL9PWikcJk3SSL3L2PDXTRwCiFk	14qs7aOZxbwDx8CGq5Zp0wRA7KtGevexo	folder	01_using-sql-to-clean-data
